alarm_id,incident_id,timestamp,device_id,alarm_type,severity,alarm_text,vendor,technology,acknowledged,cleared
ALM000001,INC0001,2026-03-01 03:52:10,DEV0109,service_degraded,minor,Service quality degradation detected,Nokia,IP_MPLS,True,True
ALM000002,INC0001,2026-03-01 03:58:04,DEV0112,service_degraded,major,Service quality degradation detected,Nokia,5G,False,True
ALM000003,INC0001,2026-03-01 03:51:43,DEV0111,service_degraded,major,Service quality degradation detected,Nokia,Fiber,True,True
ALM000004,INC0001,2026-03-01 04:00:13,DEV0114,latency_high,major,Latency threshold exceeded,Cisco,IP_MPLS,False,True
ALM000005,INC0002,2026-03-01 23:17:57,DEV0073,service_degraded,critical,Service quality degradation detected,Juniper,IP_MPLS,True,False
ALM000006,INC0002,2026-03-01 23:07:39,DEV0075,service_degraded,major,Service quality degradation detected,Ericsson,Fiber,True,False
ALM000007,INC0002,2026-03-01 23:11:29,DEV0074,link_down,critical,Link down detected on uplink interface,Juniper,IP_MPLS,True,False
ALM000008,INC0002,2026-03-01 23:18:46,DEV0073,service_degraded,major,Service quality degradation detected,Juniper,IP_MPLS,True,False
ALM000009,INC0002,2026-03-01 23:06:20,DEV0074,link_down,major,Link down detected on uplink interface,Juniper,IP_MPLS,False,False
ALM000010,INC0002,2026-03-01 23:05:46,DEV0073,device_unreachable,critical,Device is not reachable by network management system,Juniper,IP_MPLS,True,False
ALM000011,INC0002,2026-03-01 23:19:47,DEV0075,link_down,critical,Link down detected on uplink interface,Ericsson,Fiber,True,False
ALM000012,INC0002,2026-03-01 23:15:50,DEV0074,service_degraded,major,Service quality degradation detected,Juniper,IP_MPLS,False,True
ALM000013,INC0002,2026-03-01 23:08:34,DEV0073,service_degraded,major,Service quality degradation detected,Juniper,IP_MPLS,False,True
ALM000014,INC0003,2026-03-01 07:29:47,DEV0117,device_unreachable,critical,Device is not reachable by network management system,Nokia,Fiber,False,False
ALM000015,INC0003,2026-03-01 07:38:41,DEV0120,service_degraded,critical,Service quality degradation detected,Cisco,5G,False,True
ALM000016,INC0003,2026-03-01 07:40:44,DEV0117,device_unreachable,critical,Device is not reachable by network management system,Nokia,Fiber,False,False
ALM000017,INC0003,2026-03-01 07:30:36,DEV0117,service_degraded,critical,Service quality degradation detected,Nokia,Fiber,False,True
